1,latitude,longitude
富锦路,31.39225,121.42466
友谊西路,31.381296,121.427953
宝安公路,31.369555,121.430914
共富新村,31.355082,121.434063
呼兰路,31.339703,121.437711
通河新村,31.330956,121.441072
共康路,31.318936,121.447063
彭浦新村,31.306604,121.448642
汶水路,31.2892197,121.4314385
上海马戏城,31.279895,121.452023
延长路,31.272893,121.459379
中山北路,31.258891,121.459204
上海火车站,31.154579,121.430041
汉中路,31.24162,121.458321
新闸路,31.2385537,121.4688241
人民广场,31.232781,121.475137
黄陂南路,31.222729,121.473292
陕西南路,31.215,121.458266
常熟路,31.213524,121.449141
衡山路,31.204528,121.446424
徐家汇,31.194628,121.436135
上海体育馆,31.182413,121.43674
漕宝路,31.168237,121.434977
上海南路,31.14903,121.506151
锦江乐园,31.142217,121.414107
莲花路,31.130986,121.402943
外环路,31.120329,121.392158
莘庄,31.110904,121.386534
2,latitude,longitude
广兰路,31.21105,121.621096
金科路,31.204213,121.601989
张江高科,31.20183,121.587671
龙阳路,31.202491,121.557725
世纪公园,31.209421,121.550909
上海科技馆,31.217373,121.5454612
世纪大道,31.228445,121.52838
东昌路,31.23327,121.515556
陆家嘴,31.238203,121.502309
南京东路,31.238101,121.484628
人民广场,31.232781,121.475137
南京西路,31.229861,121.459989
静安寺,31.223204,121.446455
江苏路,31.220518,121.430671
中山公路,31.219725,121.416948
娄山关路,31.211158,121.404058
威宁路,31.2149972,121.3869267
北新泾,31.216357,121.373994
淞虹路,31.218212,121.359588
虹桥2号航站楼,31.194211,121.3263
虹桥火车站,31.1927593,121.3216352
徐泾东,31.188367,121.299204
